sub,date,nTrials,nRightTrials,nLeftTrials,Perf,probeID,probeType,regions,nUnits
440956,20190207,368,261,163,44.44444444,"['17131309211', '17216703352', '18005118502', '18005117122']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Striatum' 'right Striatum'],"[345, 245, 228, 303]"
440956,20190208,480,337,159,92.58160237,"['18005110031', '18005117412', '18005118502', '18005117122']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Striatum' 'right Striatum'],"[264, 201, 267, 190]"
440956,20190209,518,385,165,89.87012987,"['18005118502', '18005117122']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left Striatum' 'right Striatum'],"[435, 326]"
440956,20190210,582,405,221,89.62962963,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Striatum' 'right Striatum'],"[315, 263, 143, 396]"
440957,20190211,520,438,175,82.19178082,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Striatum' 'right Striatum'],"[339, 293, 462, 262]"
440957,20190212,531,430,178,88.37209302,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Striatum' 'right Striatum'],"[414, 230, 279, 283]"
440957,20190213,501,402,173,87.31343284,"['17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['right ALM' 'left Striatum' 'right Striatum'],"[175, 192, 257]"
440957,20190214,660,470,213,92.12765957,"['18005106822', '18005108721', '18005117122']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'right Striatum'],"[224, 59, 287]"
440958,20190213,521,430,206,78.8372093,"['18005106822', '18005108721', '18005118502', '18005117122']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Striatum' 'right Striatum'],"[186, 300, 310, 92]"
440958,20190214,520,414,204,81.88405797,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Striatum' 'right Striatum'],"[201, 372, 174, 270]"
